ISIN,Strategy Key,Language,Fund Name,Currency,Last Updated Date,Text
LU1350351653,47225,zh-HK,Franklin NextStep Dynamic Growth Fund A(acc)USD,USD,2024-03-24 12:44:34,
LU1350351901,48635,en,Franklin NextStep Dynamic Growth Fund A(Mdis)HKD,HKD,2024-03-24 12:44:34,April 2023
LU1350351901,48635,zh-CN,Franklin NextStep Dynamic Growth Fund A(Mdis)HKD,HKD,2024-03-24 12:44:34,
LU1350351901,48635,zh-HK,Franklin NextStep Dynamic Growth Fund A(Mdis)HKD,HKD,2024-03-24 12:44:34,
LU1350351737,47227,en,Franklin NextStep Dynamic Growth Fund A(Mdis)USD,USD,2024-03-24 12:44:34,April 2023
LU1350351737,47227,zh-CN,Franklin NextStep Dynamic Growth Fund A(Mdis)USD,USD,2024-03-24 12:44:34,
LU1350351737,47227,zh-HK,Franklin NextStep Dynamic Growth Fund A(Mdis)USD,USD,2024-03-24 12:44:34,
LU2788605827,763175,en,Franklin NextStep Moderate Fund A(acc)HKD,HKD,2025-05-04 13:19:31,April 2025
LU2788605827,763175,zh-HK,Franklin NextStep Moderate Fund A(acc)HKD,HKD,2025-05-04 13:19:31,
LU2788605827,763175,zh-CN,Franklin NextStep Moderate Fund A(acc)HKD,HKD,2025-05-04 13:19:31,
LU1350352206,760620,en,Franklin NextStep Moderate Fund A(Acc)USD,USD,2025-05-04 13:19:31,April 2025
LU1350352206,760620,zh-HK,Franklin NextStep Moderate Fund A(Acc)USD,USD,2025-05-04 13:19:31,
LU1350352206,760620,zh-CN,Franklin NextStep Moderate Fund A(Acc)USD,USD,2025-05-04 13:19:31,
LU2788606049,763171,en,Franklin NextStep Moderate Fund A(Mdis)HKD,HKD,2025-05-04 13:19:31,April 2025
LU2788606049,763171,zh-HK,Franklin NextStep Moderate Fund A(Mdis)HKD,HKD,2025-05-04 13:19:31,
LU2788606049,763171,zh-CN,Franklin NextStep Moderate Fund A(Mdis)HKD,HKD,2025-05-04 13:19:31,
LU1350352628,268937,en,Franklin NextStep Moderate Fund A(Mdis)USD,USD,2025-05-04 13:19:31,April 2025
LU1350352628,268937,zh-HK,Franklin NextStep Moderate Fund A(Mdis)USD,USD,2025-05-04 13:19:31,
LU1350352628,268937,zh-CN,Franklin NextStep Moderate Fund A(Mdis)USD,USD,2025-05-04 13:19:31,
LU1350350416,48630,en,Franklin NextStep Stable Growth Fund A(acc)HKD,HKD,2024-03-24 12:46:13,April 2023
LU1350350416,48630,zh-HK,Franklin NextStep Stable Growth Fund A(acc)HKD,HKD,2024-03-24 12:46:13,
LU1350350416,48630,zh-CN,Franklin NextStep Stable Growth Fund A(acc)HKD,HKD,2024-03-24 12:46:13,
LU1350350259,47229,en,Franklin NextStep Stable Growth Fund A(acc)USD,USD,2024-03-24 12:46:13,April 2023
LU1350350259,47229,zh-HK,Franklin NextStep Stable Growth Fund A(acc)USD,USD,2024-03-24 12:46:13,
LU1350350259,47229,zh-CN,Franklin NextStep Stable Growth Fund A(acc)USD,USD,2024-03-24 12:46:13,
LU1350350507,48632,en,Franklin NextStep Stable Growth Fund A(Mdis)HKD,HKD,2024-03-24 12:46:13,April 2023
LU1350350507,48632,zh-HK,Franklin NextStep Stable Growth Fund A(Mdis)HKD,HKD,2024-03-24 12:46:13,
LU1350350507,48632,zh-CN,Franklin NextStep Stable Growth Fund A(Mdis)HKD,HKD,2024-03-24 12:46:13,
LU1350350333,47231,en,Franklin NextStep Stable Growth Fund A(Mdis)USD,USD,2024-03-24 12:46:13,April 2023
LU1350350333,47231,zh-HK,Franklin NextStep Stable Growth Fund A(Mdis)USD,USD,2024-03-24 12:46:13,
LU1350350333,47231,zh-CN,Franklin NextStep Stable Growth Fund A(Mdis)USD,USD,2024-03-24 12:46:13,
LU0098860363,12193,en,Franklin Select U.S. Equity Fund A(acc)USD,USD,2020-05-04 07:25:16,April 2020
LU0098860363,12193,zh-HK,Franklin Select U.S. Equity Fund A(acc)USD,USD,2020-05-04 07:25:16,
LU0098860363,12193,zh-CN,Franklin Select U.S. Equity Fund A(acc)USD,USD,2020-05-04 07:25:16,
LU0098863896,36683,en,Franklin Select U.S. Equity Fund B(acc)USD,USD,2020-05-04 07:25:16,April 2020
LU0098863896,36683,zh-HK,Franklin Select U.S. Equity Fund B(acc)USD,USD,2020-05-04 07:25:16,
LU0098863896,36683,zh-CN,Franklin Select U.S. Equity Fund B(acc)USD,USD,2020-05-04 07:25:16,
LU0109392836,17257,en,Franklin Technology Fund A (Acc) USD,USD,2025-05-04 13:20:06,April 2025
LU0109392836,17257,zh-HK,Franklin Technology Fund A (Acc) USD,USD,2025-05-04 13:20:06,
LU0109392836,17257,zh-CN,Franklin Technology Fund A (Acc) USD,USD,2025-05-04 13:20:06,
LU0109734730,36681,en,Franklin Technology Fund B (Acc) USD,USD,2025-05-04 13:20:06,April 2025
LU0109734730,36681,zh-HK,Franklin Technology Fund B (Acc) USD,USD,2025-05-04 13:20:06,
LU0109734730,36681,zh-CN,Franklin Technology Fund B (Acc) USD,USD,2025-05-04 13:20:06,
LU0098868267,36679,en,Franklin Templeton Investment Funds - Franklin Mutual U.S. Value Fund B(acc)USD,USD,2025-05-04 13:19:01,April 2025
LU0098868267,36679,zh-HK,Franklin Templeton Investment Funds - Franklin Mutual U.S. Value Fund B(acc)USD,USD,2025-05-04 13:19:01,
LU0098868267,36679,zh-CN,Franklin Templeton Investment Funds - Franklin Mutual U.S. Value Fund B(acc)USD,USD,2025-05-04 13:19:01,
LU0128526901,36145,en,Franklin U.S. Dollar Short-Term Money Market Fund A(acc)USD,USD,2025-05-04 13:20:22,April 2025
LU0128526901,36145,zh-HK,Franklin U.S. Dollar Short-Term Money Market Fund A(acc)USD,USD,2025-05-04 13:20:22,
LU0128526901,36145,zh-CN,Franklin U.S. Dollar Short-Term Money Market Fund A(acc)USD,USD,2025-05-04 13:20:22,
LU0052767562,17259,en,Franklin U.S. Dollar Short-Term Money Market Fund A(Mdis)USD,USD,2025-05-04 13:20:40,April 2025
LU0052767562,17259,zh-HK,Franklin U.S. Dollar Short-Term Money Market Fund A(Mdis)USD,USD,2025-05-04 13:20:40,
LU0052767562,17259,zh-CN,Franklin U.S. Dollar Short-Term Money Market Fund A(Mdis)USD,USD,2025-05-04 13:20:40,
LU0098869075,36682,en,Franklin U.S. Dollar Short-Term Money Market Fund B(Mdis)USD,USD,2025-05-04 13:20:40,April 2025
LU0098869075,36682,zh-HK,Franklin U.S. Dollar Short-Term Money Market Fund B(Mdis)USD,USD,2025-05-04 13:20:40,
LU0098869075,36682,zh-CN,Franklin U.S. Dollar Short-Term Money Market Fund B(Mdis)USD,USD,2025-05-04 13:20:40,
LU2823256750,773861,en,Franklin U.S. Government Fund A (Mdis-Plus)HKD,HKD,2025-05-04 13:22:36,April 2025
LU2823256750,773861,zh-HK,Franklin U.S. Government Fund A (Mdis-Plus)HKD,HKD,2025-05-04 13:22:36,
LU2823256750,773861,zh-CN,Franklin U.S. Government Fund A (Mdis-Plus)HKD,HKD,2025-05-04 13:22:36,
LU2823256677,773862,en,Franklin U.S. Government Fund A (Mdis-Plus)USD,USD,2025-05-04 13:22:36,April 2025
LU2823256677,773862,zh-HK,Franklin U.S. Government Fund A (Mdis-Plus)USD,USD,2025-05-04 13:22:36,
LU2823256677,773862,zh-CN,Franklin U.S. Government Fund A (Mdis-Plus)USD,USD,2025-05-04 13:22:36,
LU0496364232,36684,en,Franklin U.S. Government Fund A(acc)HKD,HKD,2025-05-04 13:22:36,April 2025
LU0496364232,36684,zh-HK,Franklin U.S. Government Fund A(acc)HKD,HKD,2025-05-04 13:22:36,
LU0496364232,36684,zh-CN,Franklin U.S. Government Fund A(acc)HKD,HKD,2025-05-04 13:22:36,
LU2761367478,773864,en,Franklin U.S. Government Fund A(Mdis)AUD-H1,AUD,2025-05-04 13:22:36,April 2025
LU2761367478,773864,zh-HK,Franklin U.S. Government Fund A(Mdis)AUD-H1,AUD,2025-05-04 13:22:36,
LU2761367478,773864,zh-CN,Franklin U.S. Government Fund A(Mdis)AUD-H1,AUD,2025-05-04 13:22:36,
LU0496364315,36685,en,Franklin U.S. Government Fund A(Mdis)HKD,HKD,2025-05-04 13:22:36,April 2025
LU0496364315,36685,zh-HK,Franklin U.S. Government Fund A(Mdis)HKD,HKD,2025-05-04 13:22:36,
LU0496364315,36685,zh-CN,Franklin U.S. Government Fund A(Mdis)HKD,HKD,2025-05-04 13:22:36,
LU2761367551,773863,en,Franklin U.S. Government Fund A(Mdis)JPY-H1,JPY,2025-05-04 13:22:36,April 2025
LU2761367551,773863,zh-HK,Franklin U.S. Government Fund A(Mdis)JPY-H1,JPY,2025-05-04 13:22:36,
LU2761367551,773863,zh-CN,Franklin U.S. Government Fund A(Mdis)JPY-H1,JPY,2025-05-04 13:22:36,
LU0029872446,17260,en,Franklin U.S. Government Fund A(Mdis)USD,USD,2025-05-04 13:22:36,April 2025
LU0029872446,17260,zh-HK,Franklin U.S. Government Fund A(Mdis)USD,USD,2025-05-04 13:22:36,
LU0029872446,17260,zh-CN,Franklin U.S. Government Fund A(Mdis)USD,USD,2025-05-04 13:22:36,
LU0098868937,25776,en,Franklin U.S. Government Fund B(Mdis)USD,USD,2025-05-04 13:22:36,April 2025
LU0098868937,25776,zh-HK,Franklin U.S. Government Fund B(Mdis)USD,USD,2025-05-04 13:22:36,
LU0098868937,25776,zh-CN,Franklin U.S. Government Fund B(Mdis)USD,USD,2025-05-04 13:22:36,
LU0708995401,42567,en,Franklin U.S. Opportunities Fund A(acc)HKD,HKD,2025-05-04 13:23:06,April 2025
LU0708995401,42567,zh-HK,Franklin U.S. Opportunities Fund A(acc)HKD,HKD,2025-05-04 13:23:06,
LU0708995401,42567,zh-CN,Franklin U.S. Opportunities Fund A(acc)HKD,HKD,2025-05-04 13:23:06,
LU0109391861,8379,en,Franklin U.S. Opportunities Fund A(acc)USD,USD,2025-05-04 13:23:06,April 2025
LU0109391861,8379,zh-HK,Franklin U.S. Opportunities Fund A(acc)USD,USD,2025-05-04 13:23:06,
LU0109391861,8379,zh-CN,Franklin U.S. Opportunities Fund A(acc)USD,USD,2025-05-04 13:23:06,
LU0109391945,36393,en,Franklin U.S. Opportunities Fund B(acc)USD,USD,2025-05-04 13:23:06,April 2025
LU0109391945,36393,zh-HK,Franklin U.S. Opportunities Fund B(acc)USD,USD,2025-05-04 13:23:06,
