STRATEGYKEY,TICKERNAME,ISIN,CCY,ACTIVE,LOCALE,DOCDATE,EXTERNALURL
53334,FTGF Franklin MV Asia Pacific ex Japan Equity Growth and Income Fund Class A AUD Distr (M) (Hdg)Plus,IE00BQJZX085,AUD,false,zh_TW,2023-04-28 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UK2K&documenttype=76&market=1447&investmenttype=1&frame=0
53334,FTGF Franklin MV Asia Pacific ex Japan Equity Growth and Income Fund Class A AUD Distr (M) (Hdg)Plus,IE00BQJZX085,AUD,false,en,2023-04-28 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UK2K&documenttype=76&market=1447&investmenttype=1&frame=0
53335,Franklin MV European Equity Growth and Income Fund Class A US$ Distributing (M) (Hedged) Plus,IE00BQJZX424,USD,false,zh_TW,2022-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UK2R&documenttype=76&market=1447&investmenttype=1&frame=0
53335,Franklin MV European Equity Growth and Income Fund Class A US$ Distributing (M) (Hedged) Plus,IE00BQJZX424,USD,false,en,2022-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UK2R&documenttype=76&market=1447&investmenttype=1&frame=0
53336,FTGF Franklin MV Asia Pacific ex Japan Equity Growth and Income Fund Class A HKD Distributing(M)Plus,IE00BQJZX192,HKD,false,zh_TW,2023-04-28 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UK2L&documenttype=76&market=1447&investmenttype=1&frame=0
53336,FTGF Franklin MV Asia Pacific ex Japan Equity Growth and Income Fund Class A HKD Distributing(M)Plus,IE00BQJZX192,HKD,false,en,2023-04-28 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UK2L&documenttype=76&market=1447&investmenttype=1&frame=0
53337,FTGF Franklin MV Asia Pacific ex Japan Equity Growth and Income Fund Class A US$ Distributing(M)Plus,IE00BQJZWZ67,USD,false,zh_TW,2023-04-28 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UK2M&documenttype=76&market=1447&investmenttype=1&frame=0
53337,FTGF Franklin MV Asia Pacific ex Japan Equity Growth and Income Fund Class A US$ Distributing(M)Plus,IE00BQJZWZ67,USD,false,en,2023-04-28 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UK2M&documenttype=76&market=1447&investmenttype=1&frame=0
53338,Franklin MV European Equity Growth and Income Fund Class A Euro Distributing (M) Plus,IE00BQJZX200,EUR,false,zh_TW,2022-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UK2P&documenttype=76&market=1447&investmenttype=1&frame=0
53338,Franklin MV European Equity Growth and Income Fund Class A Euro Distributing (M) Plus,IE00BQJZX200,EUR,false,en,2022-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UK2P&documenttype=76&market=1447&investmenttype=1&frame=0
53339,Franklin MV European Equity Growth and Income Fund Class A AUD Distributing (M) (Hedged) Plus,IE00BQJZX531,AUD,false,zh_TW,2022-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000UK2O&documenttype=76&market=1447&investmenttype=1&frame=0
53339,Franklin MV European Equity Growth and Income Fund Class A AUD Distributing (M) (Hedged) Plus,IE00BQJZX531,AUD,false,en,2022-04-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000UK2O&documenttype=76&market=1447&investmenttype=1&frame=0
53340,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-USD,LU1371569200,USD,true,zh_TW,2024-08-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000WYQU&documenttype=76&market=1447&investmenttype=1&frame=0
53340,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-USD,LU1371569200,USD,true,zh_TW,2017-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000WYQU&documenttype=76&market=0&investmenttype=1&frame=0
53340,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-USD,LU1371569200,USD,true,en,2024-08-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000WYQU&documenttype=76&market=1447&investmenttype=1&frame=0
53340,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-USD,LU1371569200,USD,true,en,2017-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000WYQU&documenttype=76&market=0&investmenttype=1&frame=0
53351,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-HKD,LU1371569465,HKD,true,zh_TW,2024-08-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000WYQT&documenttype=76&market=1447&investmenttype=1&frame=0
53351,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-HKD,LU1371569465,HKD,true,zh_TW,2017-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000WYQT&documenttype=76&market=0&investmenttype=1&frame=0
53351,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-HKD,LU1371569465,HKD,true,en,2024-08-30 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000WYQT&documenttype=76&market=1447&investmenttype=1&frame=0
53351,Fidelity Funds - Asian Bond Fund A-MINCOME(G)-HKD,LU1371569465,HKD,true,en,2017-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000WYQT&documenttype=76&market=0&investmenttype=1&frame=0
23372,Fidelity Funds - Nordic Fund A-DIST-SEK,LU0048588080,SEK,true,zh_TW,2024-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04D1I&documenttype=76&market=1447&investmenttype=1&frame=0
23372,Fidelity Funds - Nordic Fund A-DIST-SEK,LU0048588080,SEK,true,zh_TW,2017-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F0GBR04D1I&documenttype=76&market=0&investmenttype=1&frame=0
23372,Fidelity Funds - Nordic Fund A-DIST-SEK,LU0048588080,SEK,true,en,2024-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04D1I&documenttype=76&market=1447&investmenttype=1&frame=0
23372,Fidelity Funds - Nordic Fund A-DIST-SEK,LU0048588080,SEK,true,en,2017-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F0GBR04D1I&documenttype=76&market=0&investmenttype=1&frame=0
55861,AB - Emerging Markets Multi-Asset Portfolio A AUD H Acc,LU0683595465,AUD,true,zh_TW,2024-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=447&investmentid=F00000QAHW&documenttype=76&market=1447&investmenttype=1&frame=0
55861,AB - Emerging Markets Multi-Asset Portfolio A AUD H Acc,LU0683595465,AUD,true,en,2024-08-01 00:00:00.000,https://doc.morningstar.com/LatestDoc.aspx?clientid=financebas&key=ffc5293c860e9242&language=451&investmentid=F00000QAHW&documenttype=76&market=1447&investmenttype=1&frame=0
