Strategy Key,ISIN,Extracted Date from TTS DB,Extracted Date from PDF File,Days since last updated from TTS DB,Days since last updated from PDF File,Update Needed?
36495,HK0000081908,1/4/2022,28/3/2024,856,129,YES
45291,HK0000126141,1/4/2022,28/3/2024,856,129,YES
45837,HK0000169232,1/4/2022,28/3/2024,856,129,YES
36412,HK0000081841,1/4/2022,28/3/2024,856,129,YES
23851,HK0000213469,1/3/2024,28/3/2024,156,129,NO
45839,HK0000213493,1/3/2024,28/3/2024,156,129,NO
214452,HK0000255957,1/3/2024,28/3/2024,156,129,NO
45917,HK0000138559,1/3/2024,28/3/2024,156,129,NO
707590,HK0000255924,1/3/2024,28/3/2024,156,129,NO
22979,,Date not found in the paragraph,Date not found in the paragraph,,,
22980,,Date not found in the paragraph,Date not found in the paragraph,,,
20678,,Date not found in the paragraph,Date not found in the paragraph,,,
21054,HK0000201621,1/3/2024,28/3/2024,156,129,NO
35583,LU0275265352,1/4/2023,1/4/2024,491,125,YES
35582,LU0270818197,1/4/2023,1/4/2024,491,125,YES
8926,LU0106250508,1/4/2023,25/4/2024,491,101,YES
9180,LU0327381843,1/4/2023,25/4/2024,491,101,YES
36497,LU0532872552,1/4/2023,25/4/2024,491,101,YES
35356,LU0091253459,1/4/2023,25/4/2024,491,101,YES
45375,LU1130306589,1/4/2023,1/4/2024,491,125,YES
45622,LU0955665376,1/4/2023,1/4/2024,491,125,YES
45078,LU0955648018,1/4/2023,1/4/2024,491,125,YES
45312,LU0955623706,1/4/2023,1/4/2024,491,125,YES
29641,LU0192582467,1/4/2023,1/4/2024,491,125,YES
19651,LU0188438112,1/4/2023,1/4/2024,491,125,YES
19713,LU0106259558,1/4/2020,1/4/2024,1586,125,YES
19653,LU0227179875,1/4/2023,1/4/2024,491,125,YES
9098,LU0232931963,1/4/2023,1/4/2024,491,125,YES
8965,LU0228659784,1/4/2023,1/4/2024,491,125,YES
9124,LU0244354667,1/4/2023,1/4/2024,491,125,YES
36507,LU0463099449,1/4/2023,1/4/2024,491,125,YES
19669,LU0106235533,1/4/2023,1/4/2024,491,125,YES
35422,LU0093472081,1/4/2023,1/4/2024,491,125,YES
19673,LU0106235293,1/4/2023,1/4/2024,491,125,YES
36186,LU0136043394,1/4/2023,1/4/2024,491,125,YES
28084,LU0106234643,1/4/2022,28/12/2022,856,585,YES
19663,LU0181495838,1/4/2023,1/4/2024,491,125,YES
19667,LU0106817157,1/4/2023,12/7/2024,491,23,YES
8927,LU0106252389,1/4/2023,1/4/2024,491,125,YES
8479,LU0106253197,1/4/2023,1/4/2024,491,125,YES
35394,LU0080733339,1/4/2023,1/4/2024,491,125,YES
35443,LU0321371998,1/4/2023,10/4/2024,491,116,YES
45352,LU1046234339,1/4/2023,10/4/2024,491,116,YES
35442,LU0319791538,1/4/2023,10/4/2024,491,116,YES
28085,,Date not found in the paragraph,Date not found in the paragraph,,,
752979,HK0000726221,1/2/2024,1/2/2024,183,183,NO
752980,HK0000726270,1/2/2024,1/2/2024,183,183,NO
752978,HK0000726239,1/2/2024,1/2/2024,183,183,NO
753612,HK0000726254,1/2/2024,1/2/2024,183,183,NO
753613,HK0000726288,1/2/2024,1/2/2024,183,183,NO
753611,HK0000726262,1/2/2024,1/2/2024,183,183,NO
753614,HK0000726296,1/2/2024,1/2/2024,183,183,NO
45728,HK0000211901,1/2/2024,1/2/2024,183,183,NO
16544,LU0348798264,1/4/2022,1/4/2022,854,854,NO
231883,LU1479563717,1/9/2023,1/4/2024,336,123,YES
339433,LU2106854487,1/9/2023,1/4/2024,336,123,YES
206042,LU1917777945,1/9/2023,1/4/2024,336,123,YES
339434,LU2014482397,1/9/2023,1/4/2024,336,123,YES
210074,,1/9/2023,Date not found in the paragraph,336,,YES
206043,LU1974910355,1/9/2023,1/4/2024,336,123,YES
33229,LU0348805143,1/9/2023,1/4/2024,336,123,YES
16539,LU0348814723,1/9/2023,1/4/2024,336,123,YES
16545,LU0348816934,1/9/2023,1/4/2024,336,123,YES
45629,LU0918141887,1/9/2023,1/4/2024,336,123,YES
45820,LU0918141705,1/9/2023,1/4/2024,336,123,YES
45630,LU0918147579,1/9/2023,1/4/2024,336,123,YES
118796,LU1366192091,1/4/2023,1/4/2024,489,123,YES
45841,LU0674994503,1/4/2023,1/7/2024,489,32,YES
20968,LU0676280802,1/4/2023,1/7/2024,489,32,YES
20967,LU0649033221,1/4/2023,1/7/2024,489,32,YES
16547,LU0516397667,1/4/2023,1/7/2024,489,32,YES
36638,LU0648978533,1/4/2023,1/7/2024,489,32,YES
45812,LU0788519618,1/4/2023,1/7/2024,489,32,YES
36639,LU0765755177,1/4/2023,1/7/2024,489,32,YES
16546,LU0674994412,1/4/2023,1/7/2024,489,32,YES
36637,LU0676280711,1/4/2023,1/7/2024,489,32,YES
45526,LU0676280554,1/4/2023,1/7/2024,489,32,YES
61031,LU1322973634,1/6/2023,1/7/2024,428,32,YES
61032,LU1328247892,1/6/2023,1/7/2024,428,32,YES
61035,LU1516272181,1/6/2023,1/7/2024,428,32,YES
61033,LU1449865044,1/6/2023,1/7/2024,428,32,YES
61034,,1/6/2023,Date not found in the paragraph,428,,YES
